user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,trip_type,companion,star,district,destination
,128 Bangkok,2.6,0.04345556,0.139240506,0.253164557,0.240506329,0.189873418,0.17721519,leisure,solo,No preference,Bangkok,0
,128 Bangkok,2.6,0.04345556,0.139240506,0.253164557,0.240506329,0.189873418,0.17721519,business,solo,No preference,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.052948855,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,leisure,friend,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.024468969,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,business,couple,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.024468969,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,leisure,couple,4,Bangkok,0
,130 Hotel & Residence Bangkok,4.2,0.052948855,0.132075472,0.377358491,0.132075472,0.056603774,0.301886792,business,friend,4,Bangkok,0
,14 Residence,2.6,0.017348997,0.115384615,0.730769231,0,0,0.153846154,leisure,family,3,Bangkok,0
,14 Residence,2.6,0.017348997,0.115384615,0.730769231,0,0,0.153846154,business,family,3,Bangkok,0
,14 Resort,2.6,0.029215616,0.210526316,0.526315789,0.026315789,0.157894737,0.078947368,business,family,3,Bangkok,0
,1989 Hostel & Cafe,4.2,0.100510265,0.066666667,0.266666667,0.253333333,0.146666667,0.266666667,leisure,solo,No preference,Khlong Toei, Bangkok
,1989 Hostel & Cafe,4.2,0.100510265,0.066666667,0.266666667,0.253333333,0.146666667,0.266666667,business,solo,No preference,Khlong Toei, Bangkok
,1sabai,4.2,0.002159725,0.113636364,0.454545455,0,0.272727273,0.159090909,business,solo,No preference,Wattana, Bangkok
,1sabai,4.2,0.040132906,0.113636364,0.454545455,0,0.272727273,0.159090909,business,family,No preference,Wattana, Bangkok
,1sabai,4.2,0.040132906,0.113636364,0.454545455,0,0.272727273,0.159090909,leisure,family,No preference,Wattana, Bangkok
,2W Bed & Breakfast Bangkok,4.2,0.019722321,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,business,couple,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.019722321,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,leisure,couple,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.033962264,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,business,friend,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.005482378,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,leisure,solo,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.005482378,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,business,solo,No preference,Bangkok,0
,2W Bed & Breakfast Bangkok,4.2,0.033962264,0.294117647,0.294117647,0.132352941,0.117647059,0.161764706,leisure,friend,No preference,Bangkok,0
,38 Mansion,1.8,0.052948855,0.166666667,0.555555556,0,0.194444444,0.083333333,leisure,friend,2,Khlong Toei, Bangkok
,38 Mansion,1.8,0.052948855,0.166666667,0.555555556,0,0.194444444,0.083333333,business,friend,2,Khlong Toei, Bangkok
,39 Boulevard Executive Residence,2.6,0.098042008,0,0.512820513,0.230769231,0.051282051,0.205128205,leisure,family,4,Wattana, Bangkok
,Abloom Exclusive Serviced Apartments,2.6,0.176361695,0.367346939,0.408163265,0.040816327,0.040816327,0.142857143,leisure,family,4,Phaya Thai, Bangkok
,Ac Habitat Bangkok,2.6,0.017348997,0.145454545,0.363636364,0.090909091,0.054545455,0.345454545,leisure,couple,3,Bangkapi, Bangkok
,Ac Habitat Bangkok,2.6,0.017348997,0.145454545,0.363636364,0.090909091,0.054545455,0.345454545,business,couple,3,Bangkapi, Bangkok
,Ad Lib,4.2,0.076990625,0.174603175,0.317460317,0.206349206,0.158730159,0.142857143,business,solo,5,Wattana, Bangkok
,Ad Lib,4.2,0.157992168,0.174603175,0.317460317,0.206349206,0.158730159,0.142857143,leisure,family,5,Wattana, Bangkok
,Adamaz House,2.6,0.040844903,0.21978022,0.21978022,0.186813187,0.153846154,0.21978022,leisure,family,2,Bangkok,0
,Adamaz House,2.6,0.040844903,0.21978022,0.21978022,0.186813187,0.153846154,0.21978022,business,family,2,Bangkok,0
,Adelphi Grande Sukhumvit by Compass Hospitality,2.6,0.086151655,0.098591549,0.281690141,0.267605634,0.281690141,0.070422535,business,family,4,Wattana, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,0.117647059,0.235294118,0.211764706,0.2,0.235294118,business,couple,4,Khlong Toei, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,0.117647059,0.235294118,0.211764706,0.2,0.235294118,business,solo,4,Khlong Toei, Bangkok
,Adelphi Suites Bangkok,4.2,0.083208734,0.117647059,0.235294118,0.211764706,0.2,0.235294118,leisure,solo,4,Khlong Toei, Bangkok
,Aetas Bangkok,4.2,0.073311973,0.191489362,0.425531915,0.063829787,0.170212766,0.14893617,business,couple,5,Pathumwan, Bangkok
,Aetas Bangkok,4.2,0.073311973,0.191489362,0.425531915,0.063829787,0.170212766,0.14893617,leisure,couple,5,Pathumwan, Bangkok
,Aetas Lumpini,4.2,0.074427436,0.215686275,0.392156863,0.039215686,0.117647059,0.235294118,business,solo,5,Sathorn, Bangkok
